user_id,acquisition_date,channel,first_session_seconds,registered,activated,retained_d1,retained_d3,retained_d7,retained_d30
U003561,2026-01-01,Organic,586,0,0,0,1,1,0
U003703,2026-01-01,Paid Social,41,1,1,0,0,0,0
U003735,2026-01-01,Paid Social,60,0,0,0,1,1,0
U003855,2026-01-01,Paid Social,28,1,1,0,0,0,0
U003883,2026-01-01,Referral,168,1,1,1,0,0,1
U003944,2026-01-01,Organic,173,0,0,1,1,0,0
U003979,2026-01-01,Search,79,0,0,0,0,0,0
U004020,2026-01-01,Organic,132,1,1,1,0,0,1
U004073,2026-01-01,Organic,18,1,1,0,0,0,0
U004074,2026-01-01,Search,71,0,0,0,0,0,0
U004082,2026-01-01,Referral,207,1,0,0,0,0,1
U004166,2026-01-01,Referral,138,0,0,0,0,0,0
U004184,2026-01-01,Organic,35,1,0,0,0,0,0
U004219,2026-01-01,Paid Social,178,0,0,0,0,0,0
U004252,2026-01-01,Paid Social,132,0,0,0,0,0,0
U004273,2026-01-01,Referral,64,1,0,0,0,0,0
U004300,2026-01-01,Referral,111,1,1,1,0,0,0
U004310,2026-01-01,Referral,59,0,0,0,1,0,0
U004341,2026-01-01,Paid Social,16,0,0,0,0,0,0
U004429,2026-01-01,Referral,100,1,0,1,0,0,1
U004483,2026-01-01,Search,109,0,0,0,0,0,0
U004484,2026-01-01,Referral,78,1,1,1,0,1,0
U004541,2026-01-01,Organic,63,1,1,0,1,0,1
U004544,2026-01-01,Search,380,0,0,0,0,0,0
U004703,2026-01-01,Organic,21,1,0,1,0,0,1
U004860,2026-01-01,Search,147,0,0,0,0,0,0
U004868,2026-01-01,Organic,57,1,1,0,0,0,0
U004922,2026-01-01,Search,25,1,1,0,0,0,0
U004932,2026-01-01,Search,54,1,1,0,0,0,1
U004960,2026-01-01,Search,162,0,0,0,0,1,0
U004966,2026-01-01,Search,100,0,0,0,0,0,0
U004996,2026-01-01,Organic,34,1,1,0,0,0,0
U005059,2026-01-01,Organic,31,1,0,0,0,0,0
U005091,2026-01-01,Paid Social,28,0,0,0,0,1,0
U005150,2026-01-01,Organic,52,0,0,0,0,0,0
U005174,2026-01-01,Search,139,1,0,0,1,0,0
U005269,2026-01-01,Paid Social,209,1,1,0,0,0,0
U005374,2026-01-01,Organic,24,1,0,0,1,0,0
U005404,2026-01-01,Search,44,1,1,0,1,0,0
U005604,2026-01-01,Organic,44,1,1,1,0,0,0
U005619,2026-01-01,Organic,58,1,1,0,0,0,0
U005917,2026-01-01,Organic,106,1,1,0,1,0,0
U005999,2026-01-01,Paid Social,400,0,0,0,1,0,1
U006062,2026-01-01,Organic,296,1,0,1,1,0,0
U006220,2026-01-01,Referral,171,0,0,0,0,0,0
U006252,2026-01-01,Paid Social,70,0,0,0,0,1,0
U006324,2026-01-01,Organic,126,0,0,1,0,0,0
U006342,2026-01-01,Organic,229,0,0,1,0,0,0
U006367,2026-01-01,Search,51,1,1,0,0,0,0
U006416,2026-01-01,Organic,49,0,0,1,1,0,0
U006468,2026-01-01,Paid Social,88,0,0,0,1,0,0
U006474,2026-01-01,Organic,115,0,0,1,0,1,0
U006585,2026-01-01,Referral,54,1,0,0,0,0,0
U006830,2026-01-01,Search,246,1,1,0,0,0,0
U006847,2026-01-01,Paid Social,197,0,0,0,0,0,0
U006874,2026-01-01,Organic,720,0,0,0,1,0,0
U006967,2026-01-01,Organic,63,1,0,1,0,0,0
U007030,2026-01-01,Referral,18,0,0,0,0,0,0
U007034,2026-01-01,Organic,99,1,0,1,0,0,0
U007083,2026-01-01,Paid Social,185,0,0,0,0,0,0
U007084,2026-01-01,Organic,98,0,0,0,0,0,0
U007089,2026-01-01,Paid Social,36,1,1,0,0,0,0
U007173,2026-01-01,Organic,466,0,0,0,1,0,0
U007219,2026-01-01,Paid Social,51,0,0,0,0,0,1
U007243,2026-01-01,Paid Social,102,0,0,0,0,0,1
U007380,2026-01-01,Referral,178,1,1,1,1,0,0
U007427,2026-01-01,Search,74,1,0,1,0,1,1
U007467,2026-01-01,Search,386,0,0,0,1,0,0
U007474,2026-01-01,Referral,178,1,0,0,0,0,0
U007491,2026-01-01,Search,43,0,0,1,0,0,0
U007562,2026-01-01,Paid Social,61,0,0,0,0,0,0
U007572,2026-01-01,Search,35,1,1,1,1,0,0
U007621,2026-01-01,Referral,18,0,0,0,0,0,0
U007663,2026-01-01,Organic,37,1,1,0,0,0,0
U007842,2026-01-01,Search,736,1,1,0,0,0,0
U007861,2026-01-01,Paid Social,68,0,0,0,1,0,0
U007886,2026-01-01,Referral,100,1,1,0,1,0,0
U007899,2026-01-01,Organic,481,1,1,1,0,1,1
U007920,2026-01-01,Search,45,1,1,1,0,0,0
U008053,2026-01-01,Search,144,1,1,0,1,0,0
U008062,2026-01-01,Paid Social,29,0,0,0,0,0,0
U008089,2026-01-01,Paid Social,78,1,1,0,0,0,0
U008139,2026-01-01,Organic,175,1,0,0,0,0,0
U008162,2026-01-01,Search,60,1,1,0,1,0,0
U008313,2026-01-01,Organic,33,1,1,1,0,0,0
U008418,2026-01-01,Organic,15,1,1,1,1,0,0
U008560,2026-01-01,Paid Social,109,0,0,0,1,0,0
U008617,2026-01-01,Search,233,1,1,1,0,0,0
U008647,2026-01-01,Paid Social,143,0,0,0,0,0,0
U008888,2026-01-01,Organic,43,1,1,0,0,0,0
U008934,2026-01-01,Paid Social,47,1,1,0,0,1,0
U009117,2026-01-01,Search,32,1,1,0,0,0,0
U009153,2026-01-01,Paid Social,133,1,1,0,0,0,0
U009227,2026-01-01,Search,144,1,1,0,0,1,0
U009316,2026-01-01,Organic,10,1,1,0,1,0,0
U009318,2026-01-01,Paid Social,41,0,0,1,0,0,0
U009450,2026-01-01,Organic,74,1,1,1,0,0,0
U009516,2026-01-01,Organic,23,0,0,1,0,0,0
U009537,2026-01-01,Paid Social,9,1,1,0,1,1,0
U009543,2026-01-01,Organic,183,1,0,0,0,0,0
U009555,2026-01-01,Paid Social,20,0,0,0,0,0,0
U009567,2026-01-01,Paid Social,30,1,1,1,0,0,0
U009647,2026-01-01,Search,38,1,0,0,0,0,0
U009666,2026-01-01,Paid Social,314,1,1,0,1,0,0
U009703,2026-01-01,Paid Social,115,0,0,0,0,0,0
U009769,2026-01-01,Organic,140,0,0,1,0,0,0
U009853,2026-01-01,Organic,105,1,1,0,0,0,1
U000013,2026-01-02,Paid Social,85,1,1,0,0,1,1
U000023,2026-01-02,Referral,133,1,0,0,0,0,0
U000026,2026-01-02,Referral,6,0,0,0,0,0,0
U000039,2026-01-02,Organic,290,1,1,1,0,0,0
U000117,2026-01-02,Organic,270,0,0,1,0,0,0
U000296,2026-01-02,Paid Social,112,1,1,0,0,0,0
U000325,2026-01-02,Organic,22,1,1,0,0,0,0
U000369,2026-01-02,Organic,404,1,0,0,0,0,0
U000398,2026-01-02,Search,287,0,0,0,0,1,0
U000444,2026-01-02,Organic,138,1,1,0,0,1,0
U000494,2026-01-02,Search,227,1,0,0,0,1,0
U000496,2026-01-02,Referral,31,1,1,0,0,1,0
U000516,2026-01-02,Paid Social,172,0,0,0,0,0,0
U000546,2026-01-02,Paid Social,117,1,1,0,0,0,0
U000673,2026-01-02,Paid Social,158,1,1,0,0,0,0
U000695,2026-01-02,Organic,139,0,0,0,0,0,1
U000725,2026-01-02,Paid Social,382,1,0,1,0,0,0
U000793,2026-01-02,Organic,20,1,1,1,1,0,0
U000891,2026-01-02,Referral,588,1,1,0,0,1,0
U000939,2026-01-02,Search,37,0,0,1,0,0,0
U000940,2026-01-02,Referral,208,1,0,0,0,0,0
U000964,2026-01-02,Paid Social,27,1,1,0,0,0,0
U000989,2026-01-02,Referral,90,0,0,1,0,0,0
U001048,2026-01-02,Paid Social,25,1,0,0,0,0,0
U001061,2026-01-02,Search,100,0,0,0,0,0,0
U001076,2026-01-02,Paid Social,38,1,0,1,0,0,0
U001099,2026-01-02,Search,79,0,0,0,0,0,1
U001277,2026-01-02,Paid Social,25,0,0,0,0,0,0
U001295,2026-01-02,Organic,52,1,1,0,1,0,0
U001338,2026-01-02,Organic,560,1,1,1,1,0,0
U001370,2026-01-02,Paid Social,64,1,1,0,0,0,1
U001400,2026-01-02,Referral,17,0,0,0,0,1,0
U001418,2026-01-02,Search,171,0,0,1,0,0,0
U001435,2026-01-02,Referral,100,1,1,0,1,1,0
U001442,2026-01-02,Paid Social,77,0,0,0,0,0,0
U001453,2026-01-02,Organic,45,1,0,1,0,1,0
U001462,2026-01-02,Paid Social,59,0,0,0,0,0,0
U001505,2026-01-02,Paid Social,316,1,1,1,0,1,0
U001519,2026-01-02,Search,245,0,0,1,1,0,0
U001701,2026-01-02,Referral,31,1,1,0,0,1,0
U001749,2026-01-02,Referral,255,1,1,1,0,1,0
U001867,2026-01-02,Paid Social,39,1,1,0,0,0,1
U001933,2026-01-02,Organic,45,1,1,1,0,0,0
U001954,2026-01-02,Paid Social,364,1,1,0,0,0,0
U001971,2026-01-02,Organic,22,1,1,1,1,0,0
U001979,2026-01-02,Paid Social,517,1,1,1,0,0,0
U002007,2026-01-02,Referral,78,1,0,0,1,0,0
U002031,2026-01-02,Search,92,0,0,0,1,0,0
U002042,2026-01-02,Referral,45,1,0,1,1,0,0
U002317,2026-01-02,Search,154,0,0,0,0,0,0
U002331,2026-01-02,Search,46,1,1,0,0,1,0
U002366,2026-01-02,Organic,144,1,1,1,0,0,1
U002484,2026-01-02,Search,133,1,1,0,0,1,1
U002592,2026-01-02,Organic,166,1,1,0,0,0,1
U002658,2026-01-02,Referral,24,0,0,1,0,0,0
U002724,2026-01-02,Paid Social,239,1,1,0,1,0,0
U002804,2026-01-02,Search,63,0,0,0,0,0,0
U002875,2026-01-02,Paid Social,198,1,1,1,0,0,0
U002992,2026-01-02,Referral,71,0,0,0,1,1,0
U003052,2026-01-02,Paid Social,150,0,0,0,0,0,0
U003136,2026-01-02,Paid Social,156,1,1,0,0,0,0
U003214,2026-01-02,Organic,62,1,1,0,0,0,0
U003240,2026-01-02,Referral,415,1,1,0,1,0,0
U003266,2026-01-02,Organic,127,0,0,0,1,0,0
U003277,2026-01-02,Paid Social,164,0,0,0,0,0,0
U003293,2026-01-02,Referral,33,1,0,0,1,1,0
U003334,2026-01-02,Paid Social,156,0,0,0,0,0,0
U003343,2026-01-02,Organic,187,0,0,0,0,0,0
U003347,2026-01-02,Organic,136,0,0,1,1,1,0
U003417,2026-01-02,Search,28,1,1,0,0,0,0
U003428,2026-01-02,Organic,111,1,1,0,0,0,0
U003530,2026-01-02,Paid Social,126,1,1,0,1,0,0
U003615,2026-01-02,Organic,32,1,0,0,0,0,0
U003717,2026-01-02,Organic,742,0,0,1,0,0,0
U003721,2026-01-02,Search,149,0,0,0,0,0,0
U003803,2026-01-02,Organic,123,1,1,0,0,0,0
U003816,2026-01-02,Paid Social,54,1,1,0,0,0,0
U003872,2026-01-02,Organic,118,0,0,0,0,0,0
U003968,2026-01-02,Paid Social,66,0,0,1,0,0,0
U003991,2026-01-02,Referral,754,0,0,1,0,0,0
U003995,2026-01-02,Paid Social,309,1,0,0,0,0,1
U004113,2026-01-02,Paid Social,47,1,1,0,0,0,0
U004124,2026-01-02,Organic,60,0,0,1,0,0,0
U004271,2026-01-02,Paid Social,63,1,0,1,0,0,0
U004297,2026-01-02,Paid Social,10,1,0,0,0,0,0
U004422,2026-01-02,Organic,43,0,0,0,0,1,0
U004470,2026-01-02,Organic,72,1,1,0,0,0,0
U004527,2026-01-02,Search,34,0,0,0,0,0,0
U004538,2026-01-02,Organic,184,0,0,0,0,0,0
U004575,2026-01-02,Organic,43,1,0,0,0,1,0
U004610,2026-01-02,Referral,83,1,1,1,0,0,0
U004686,2026-01-02,Paid Social,156,0,0,0,0,0,0
U004734,2026-01-02,Search,292,1,1,0,0,1,0
U004749,2026-01-02,Organic,536,0,0,0,0,0,0
U004822,2026-01-02,Referral,29,0,0,0,0,0,0
U004912,2026-01-02,Organic,334,1,1,1,0,0,1
U004941,2026-01-02,Organic,54,1,0,0,0,1,0
U004988,2026-01-02,Organic,453,1,1,0,0,0,0
U005011,2026-01-02,Organic,66,1,1,0,0,1,1
U005024,2026-01-02,Paid Social,47,1,1,0,0,0,0
U005038,2026-01-02,Search,314,1,0,1,0,1,0
U005040,2026-01-02,Organic,305,1,1,0,1,0,0
U005055,2026-01-02,Paid Social,256,0,0,0,0,0,0
U005106,2026-01-02,Referral,48,1,0,1,0,0,0
U005128,2026-01-02,Referral,23,1,1,1,0,0,0
U005228,2026-01-02,Search,77,1,1,0,0,0,0
U005231,2026-01-02,Search,69,0,0,1,0,0,0
U005348,2026-01-02,Referral,69,1,1,0,0,1,0
U005458,2026-01-02,Search,43,0,0,0,0,0,0
U005518,2026-01-02,Search,36,1,1,0,0,0,0
U005598,2026-01-02,Referral,36,1,0,0,1,0,0
U005743,2026-01-02,Paid Social,124,0,0,0,1,0,0
U005747,2026-01-02,Paid Social,130,1,0,1,1,0,0
U005777,2026-01-02,Search,38,0,0,0,0,0,0
U005808,2026-01-02,Organic,73,0,0,1,0,0,0
U005859,2026-01-02,Search,184,1,0,0,0,0,0
U005875,2026-01-02,Organic,126,1,1,0,0,1,0
U005888,2026-01-02,Paid Social,253,1,1,1,0,0,0
U005987,2026-01-02,Paid Social,9,1,1,0,0,0,0
U005998,2026-01-02,Organic,33,0,0,0,0,0,1
U006046,2026-01-02,Search,25,0,0,0,0,0,0
U006052,2026-01-02,Organic,29,0,0,1,0,0,0
U006091,2026-01-02,Organic,37,1,1,0,1,0,0
U006103,2026-01-02,Organic,151,0,0,0,0,1,0
U006176,2026-01-02,Referral,43,1,0,0,0,0,0
U006183,2026-01-02,Paid Social,55,1,0,0,1,0,0
U006191,2026-01-02,Paid Social,250,0,0,0,1,0,0
U006201,2026-01-02,Organic,65,1,1,0,0,0,1
U006265,2026-01-02,Referral,98,0,0,0,0,0,0
U006300,2026-01-02,Search,5,0,0,0,0,0,0
U006319,2026-01-02,Paid Social,100,0,0,0,0,1,0
U006374,2026-01-02,Organic,226,1,1,1,0,0,0
U006456,2026-01-02,Organic,187,1,0,0,0,0,0
U006512,2026-01-02,Paid Social,240,1,1,0,0,0,0
U006673,2026-01-02,Paid Social,71,1,1,0,0,0,0
U006727,2026-01-02,Search,16,1,0,0,1,0,0
U006802,2026-01-02,Paid Social,59,1,1,0,0,0,0
U006839,2026-01-02,Paid Social,20,1,0,0,0,0,0
U006880,2026-01-02,Organic,141,1,1,1,1,0,0
U007052,2026-01-02,Paid Social,494,1,1,1,0,0,0
U007101,2026-01-02,Paid Social,431,1,1,0,0,1,0
U007181,2026-01-02,Search,31,1,1,0,0,0,0
U007237,2026-01-02,Paid Social,76,1,1,0,0,1,0
U007384,2026-01-02,Organic,89,0,0,0,0,1,1
U007583,2026-01-02,Referral,25,1,0,0,0,0,0
U007697,2026-01-02,Paid Social,94,0,0,0,0,0,0
U007701,2026-01-02,Organic,120,0,0,1,0,0,0
U007726,2026-01-02,Organic,120,1,1,1,0,1,0
U007855,2026-01-02,Paid Social,117,1,1,0,1,0,0
U007921,2026-01-02,Search,25,1,1,1,1,1,0
U007937,2026-01-02,Paid Social,26,1,1,0,0,0,0
U008107,2026-01-02,Referral,375,1,0,1,0,0,1
U008129,2026-01-02,Paid Social,30,0,0,0,0,0,0
U008134,2026-01-02,Search,148,1,1,1,0,0,0
U008258,2026-01-02,Search,41,1,1,0,0,0,0
U008281,2026-01-02,Organic,82,1,1,1,0,0,0
U008298,2026-01-02,Organic,14,0,0,0,0,0,0
U008300,2026-01-02,Paid Social,55,1,1,1,0,0,0
U008320,2026-01-02,Referral,22,1,1,0,0,0,0
U008324,2026-01-02,Organic,70,1,1,1,1,0,0
U008356,2026-01-02,Organic,27,0,0,0,0,1,0
U008358,2026-01-02,Paid Social,40,1,0,0,0,0,0
U008506,2026-01-02,Referral,48,1,1,1,0,0,0
U008573,2026-01-02,Paid Social,128,0,0,0,0,1,0
U008584,2026-01-02,Paid Social,38,1,1,0,0,0,1
U008604,2026-01-02,Organic,14,1,1,0,0,0,0
U008615,2026-01-02,Paid Social,38,1,1,0,0,0,0
U008654,2026-01-02,Organic,31,1,0,0,0,0,0
U008710,2026-01-02,Search,45,1,1,0,0,0,0
U008726,2026-01-02,Organic,185,1,1,0,0,0,0
U008735,2026-01-02,Search,194,1,1,1,1,0,0
U008739,2026-01-02,Organic,94,1,0,0,1,1,0
U008774,2026-01-02,Search,92,1,1,1,0,0,0
U008779,2026-01-02,Search,136,0,0,0,0,0,0
U009019,2026-01-02,Organic,12,1,1,0,0,0,0
U009080,2026-01-02,Referral,249,1,0,1,0,0,1
U009084,2026-01-02,Organic,32,0,0,1,0,0,0
U009138,2026-01-02,Referral,85,0,0,1,1,0,0
U009156,2026-01-02,Paid Social,420,0,0,1,0,1,0
U009167,2026-01-02,Organic,102,1,1,1,0,1,0
U009281,2026-01-02,Referral,221,1,1,1,0,0,0
U009342,2026-01-02,Paid Social,30,1,1,0,1,0,0
U009381,2026-01-02,Paid Social,404,1,1,0,0,1,0
U009478,2026-01-02,Paid Social,104,1,1,0,0,0,0
U009588,2026-01-02,Search,144,1,1,1,0,0,0
U009611,2026-01-02,Paid Social,32,1,0,0,1,0,0
U009710,2026-01-02,Search,304,1,1,1,1,0,0
U009756,2026-01-02,Paid Social,132,0,0,0,0,1,0
U009786,2026-01-02,Search,193,0,0,0,1,0,1
U009851,2026-01-02,Search,74,1,1,0,0,0,0
U009887,2026-01-02,Organic,86,1,0,0,0,0,0
U000040,2026-01-03,Organic,146,0,0,0,1,0,0
U000198,2026-01-03,Organic,194,1,1,0,1,0,0
U000284,2026-01-03,Organic,125,1,1,1,0,0,0
U000328,2026-01-03,Organic,69,1,1,1,0,0,0
U000336,2026-01-03,Organic,276,0,0,0,0,0,0
U000405,2026-01-03,Organic,46,1,1,0,0,1,0
U000459,2026-01-03,Search,26,1,1,0,0,0,0
U000497,2026-01-03,Paid Social,15,0,0,0,0,0,0
U000556,2026-01-03,Search,152,0,0,0,0,0,0
U000577,2026-01-03,Paid Social,44,1,0,0,1,0,0
U000581,2026-01-03,Organic,82,1,0,1,1,0,0
U000658,2026-01-03,Paid Social,90,1,1,0,0,0,0
U000692,2026-01-03,Organic,419,0,0,1,0,0,1
U000738,2026-01-03,Paid Social,70,1,1,0,0,0,0
U000752,2026-01-03,Organic,186,1,0,1,0,1,0
U000893,2026-01-03,Referral,148,0,0,1,0,0,0
U000933,2026-01-03,Organic,76,1,0,0,0,0,0
U000970,2026-01-03,Paid Social,303,0,0,0,1,0,0
U001055,2026-01-03,Organic,240,0,0,0,0,1,0
U001136,2026-01-03,Search,82,0,0,0,0,0,0
U001218,2026-01-03,Search,92,0,0,0,0,0,0
U001220,2026-01-03,Organic,377,0,0,0,0,0,0
U001246,2026-01-03,Paid Social,738,1,1,0,0,0,0
U001302,2026-01-03,Paid Social,242,1,1,0,0,0,0
U001382,2026-01-03,Organic,84,1,1,0,0,1,0
U001404,2026-01-03,Paid Social,102,0,0,0,0,0,0
U001420,2026-01-03,Paid Social,124,0,0,1,0,0,0
U001518,2026-01-03,Organic,137,1,1,0,0,1,0
U001534,2026-01-03,Paid Social,106,0,0,1,0,0,0
U001587,2026-01-03,Paid Social,270,1,1,0,0,0,1
U001624,2026-01-03,Search,341,0,0,0,0,0,0
U001658,2026-01-03,Organic,35,0,0,0,0,0,0
U001675,2026-01-03,Paid Social,13,1,0,0,0,0,0
U001679,2026-01-03,Organic,264,1,1,1,1,1,0
U001696,2026-01-03,Paid Social,40,1,0,0,0,0,0
U001721,2026-01-03,Organic,176,0,0,1,1,0,0
U001775,2026-01-03,Referral,184,1,1,0,0,1,0
U001779,2026-01-03,Paid Social,63,1,1,1,0,0,0
U001802,2026-01-03,Paid Social,121,0,0,0,0,0,0
U001895,2026-01-03,Organic,242,0,0,0,0,0,1
U001898,2026-01-03,Organic,252,0,0,1,1,1,0
U002028,2026-01-03,Paid Social,36,0,0,0,1,0,1
U002035,2026-01-03,Search,94,0,0,0,0,0,0
U002082,2026-01-03,Paid Social,60,1,1,1,1,1,0
U002259,2026-01-03,Organic,60,0,0,1,0,0,0
U002295,2026-01-03,Referral,189,0,0,0,1,0,0
U002382,2026-01-03,Paid Social,31,1,1,1,0,0,0
U002469,2026-01-03,Organic,13,1,0,0,0,0,0
U002506,2026-01-03,Paid Social,68,1,1,1,0,0,0
U002556,2026-01-03,Organic,209,1,1,0,1,0,1
U002576,2026-01-03,Paid Social,97,0,0,0,1,0,0
U002603,2026-01-03,Paid Social,121,1,1,0,0,0,0
U002604,2026-01-03,Organic,368,1,0,1,0,0,0
U002649,2026-01-03,Search,83,1,1,1,1,0,1
U002691,2026-01-03,Organic,119,1,1,0,1,0,1
U002801,2026-01-03,Organic,82,0,0,0,0,0,0
U003160,2026-01-03,Paid Social,12,1,1,0,0,0,0
U003171,2026-01-03,Organic,26,1,1,0,0,0,0
U003297,2026-01-03,Paid Social,49,0,0,0,1,0,0
U003374,2026-01-03,Paid Social,185,1,1,0,0,0,0
U003401,2026-01-03,Organic,42,0,0,0,0,0,0
U003477,2026-01-03,Paid Social,63,1,1,1,0,0,0
U003495,2026-01-03,Organic,35,0,0,1,0,0,0
U003538,2026-01-03,Paid Social,53,0,0,0,0,0,0
U003543,2026-01-03,Paid Social,122,0,0,1,0,0,0
U003610,2026-01-03,Organic,37,1,1,0,0,0,0
U003671,2026-01-03,Paid Social,47,1,1,0,0,1,0
U003675,2026-01-03,Search,26,1,0,1,1,0,0
U003894,2026-01-03,Organic,242,1,0,1,1,0,0
U003905,2026-01-03,Paid Social,404,1,1,0,1,0,0
U003996,2026-01-03,Paid Social,223,1,1,1,0,0,0
U004034,2026-01-03,Paid Social,97,1,1,1,1,0,0
U004108,2026-01-03,Search,163,1,1,0,0,0,0
U004212,2026-01-03,Paid Social,107,0,0,0,0,1,0
U004281,2026-01-03,Referral,72,1,1,0,1,0,1
U004288,2026-01-03,Organic,32,1,0,0,0,0,0
U004303,2026-01-03,Search,29,1,0,0,0,0,1
U004376,2026-01-03,Search,32,1,1,0,0,0,0
U004385,2026-01-03,Organic,68,1,0,1,0,0,0
U004403,2026-01-03,Organic,158,1,1,1,0,0,0
U004545,2026-01-03,Search,146,1,1,0,0,0,0
U004579,2026-01-03,Referral,26,0,0,0,0,1,0
U004581,2026-01-03,Search,68,1,1,0,1,1,0
U004583,2026-01-03,Organic,104,1,0,1,1,0,0
U004712,2026-01-03,Search,97,1,1,0,0,0,0
U004760,2026-01-03,Organic,375,1,1,0,1,0,1
U004818,2026-01-03,Search,58,0,0,0,0,0,0
U004855,2026-01-03,Search,29,1,1,0,0,1,0
U004900,2026-01-03,Organic,293,0,0,1,1,0,0
U004930,2026-01-03,Organic,4439,1,1,0,0,0,0
U004952,2026-01-03,Paid Social,229,0,0,0,1,0,0
U005003,2026-01-03,Organic,75,0,0,1,1,0,0
U005014,2026-01-03,Search,12,0,0,0,0,0,0
U005050,2026-01-03,Paid Social,11,0,0,1,1,0,0
U005161,2026-01-03,Organic,53,0,0,0,0,0,0
U005163,2026-01-03,Paid Social,661,1,1,1,1,1,0
U005418,2026-01-03,Organic,268,0,0,1,0,0,0
U005447,2026-01-03,Paid Social,38,1,0,0,0,0,0
U005453,2026-01-03,Organic,82,0,0,0,0,0,0
U005481,2026-01-03,Organic,610,1,0,0,1,1,0
U005597,2026-01-03,Organic,37,1,1,0,1,1,0
U005711,2026-01-03,Referral,392,1,1,0,0,0,0
U005787,2026-01-03,Search,7,0,0,0,0,0,1
U005827,2026-01-03,Referral,236,1,1,1,1,1,0
U005972,2026-01-03,Organic,17,1,0,0,1,1,0
U006170,2026-01-03,Search,64,1,0,0,0,0,0
U006226,2026-01-03,Search,454,1,1,0,0,0,0
U006236,2026-01-03,Paid Social,507,1,1,0,0,0,0
U006275,2026-01-03,Referral,17,1,1,0,0,0,0
U006284,2026-01-03,Organic,156,1,0,1,0,0,0
U006318,2026-01-03,Organic,137,1,1,0,0,0,0
U006556,2026-01-03,Organic,126,1,1,0,0,0,0
U006593,2026-01-03,Organic,39,1,1,0,0,0,0
U006606,2026-01-03,Organic,82,0,0,0,0,0,0
U006614,2026-01-03,Paid Social,127,1,1,0,0,0,0
